号	地点 記号	掲載地点名	緯度 （北緯）	経度 （東経）	MSL- 潮位表 基準面 （cm）	MSLの 標高 （cm）	潮位表 基準面 の標高 （cm）	主要4分潮								分潮一覧表	備考
203	QE	厳原	34゜12'	129゜18'	93	8.5	-84.5	50.67	252.9	24.11	278.58	8.29	207.39	6.15	200.4	-	
204	O1	対馬	34゜16'	129゜19'	88	-	-	49.29	252.6	23.4	278.4	7.64	208.11	5.46	204.15	-	
205	N5	対馬比田勝	34゜39'	129゜29'	58	10.4	-47.6	32	253.31	15.79	278.52	3.06	246.17	3.69	252.57	2024年	
206	K5	萩	34゜26'	131゜25'	48	-	-	15.56	315.96	7.82	335.17	9.67	326.64	11.09	301.22	-	
207	ZK	須佐	34゜38'	131゜36'	40	26.5	-13.5	12.11	328.86	6.18	345.12	9.19	337.78	10.6	309.62	-	
208	HA	浜田	34゜54'	132゜04'	29	29	0	7.92	353.57	3.92	3.44	7.37	353.18	8.99	325.58	2024年	
209	SK	境	35゜33'	133゜15'	17	31.6	14.6	5.52	68.96	2.02	82.23	4.91	343.43	4.6	312.48	2024年	
210	SA	西郷	36゜12'	133゜20'	17	13.6	-3.4	5.65	63.59	1.98	78.4	5	347.45	5.52	324.31	2024年	
211	ZE	田後	35゜36'	134゜19'	20	31.1	11.1	5.96	66.99	2.16	84	5.09	342.78	5.19	314.81	-	
212	T6	津居山	35゜39'	134゜50'	17	-	-	5.81	69.87	2.06	87.39	5.01	342.57	5.03	314.11	-	
213	T2	宮津	35゜32'	135゜12'	18	-	-	6.28	68.22	2.29	88.87	5.07	341.92	5.13	314.34	-	
214	MZ	舞鶴	35゜29'	135゜23'	19	29.8	10.8	6.2	71.14	2.27	89.58	5.34	342.14	5.42	314.56	2024年	
215	XM	敦賀	35゜40'	136゜04'	18	-	-	5.73	74.8	2.07	95.87	5.1	343.37	5.23	316.36	-	
216	ZG	三国	36゜15'	136゜09'	18	34.7	16.7	5.62	75.74	1.92	97.64	5.22	345.28	5.23	317.79	-	
217	T1	金沢	36゜37'	136゜36'	20	-	-	5.64	76.13	1.97	98.05	5.31	344.73	5.38	318.43	-	
218	Z7	輪島	37゜24'	136゜54'	20	24.6	4.6	5.67	79.57	2.02	103.47	5.45	345.59	5.42	319.86	-	
219	SZ	能登	37゜30'	137゜09'	20	26	6	5.61	80.64	2	107.24	5.45	345.98	5.36	320.14	2024年	
220	XO	七尾	37゜03'	136゜58'	20	-	-	6.12	83.69	2.22	109.05	5.33	346.96	5.41	321.92	-	
221	XQ	伏木富山	36゜48'	137゜04'	20	-	-	5.84	82.5	2.08	107.39	5.37	344.84	5.32	320.98	-	
222	SN	新湊	36゜47'	137゜07'	20	-	-	5.88	81.38	2.1	106.41	5.37	344.57	5.31	320.5	-	
223	TY	富山	36゜46'	137゜13'	22	30.8	8.8	5.74	82.01	2.08	107.89	5.36	345.29	5.23	320.1	2024年	
224	I7	生地	36゜53'	137゜25'	22	-	-	5.8	82.74	2.12	108.41	5.52	345.64	5.4	320.55	-	
225	T3	直江津	37゜11'	138゜15'	19	-	-	5.89	81.82	2.1	111.09	5.31	345.33	5.33	320.28	-	
226	ZC	柏崎	37゜21'	138゜31'	21	21.9	0.9	5.5	88.02	2.02	116.27	5.38	347.89	5.42	323.28	-	
227	S6	新潟西港	37゜56'	139゜04'	17	-	-	5.51	88.59	2.01	119.02	5.34	348.73	5.4	323.79	-	
228	I5	新潟東港	37゜59'	139゜13'	17	-	-	5.43	90.77	2.03	121.97	5.34	349.79	5.41	324.47	-	
229	ZN	小木	37゜49'	138゜17'	19	-0.6	-19.6	5.46	86.78	1.98	115.18	5.37	347.59	5.41	322.79	-	
230	RZ	両津	38゜05'	138゜26'	18	-	-	5.68	87.49	2.02	118.33	5.37	347.84	5.39	322.76	-	
231	S0	佐渡	38゜19'	138゜31'	18	4.1	-13.9	5.46	87.79	2	117.88	5.39	347.93	5.49	323.15	2024年	
232	QR	粟島	38゜28'	139゜15'	20	10.4	-9.6	5.41	90.61	2	122.02	5.31	349.28	5.38	323.86	-	
233	ZB	鼠ヶ関	38゜34'	139゜33'	20	29.9	9.9	5.03	94.26	1.92	126.11	5.2	350.75	5.24	325.41	-	
234	S9	酒田	38゜55'	139゜49'	21	-	-	5.16	94.31	2	126.25	5.33	350.89	5.47	325.28	-	
235	ZQ	飛島	39゜11'	139゜33'	19	0.9	-18.1	5.2	93.75	1.99	126.18	5.37	349.79	5.45	324.99	-	
236	S1	秋田	39゜45'	140゜04'	19	-	-	5.1	96.73	2.03	129.1	5.44	350.98	5.46	326.37	-	
237	S2	船川港	39゜55'	139゜51'	18	-	-	5.45	95.59	2.07	135.24	5.38	348.43	5.41	325.57	-	
238	ZI	男鹿	39゜57'	139゜42'	18	27.6	9.6	5.06	97.48	2	131.55	5.4	351.46	5.44	326.7	-	
239	FK	深浦	40゜39'	139゜56'	18	29.2	11.2	4.93	98.45	2.01	132.97	5.27	352.33	5.27	326.63	2024年	
