号	地点 記号	掲載地点名	緯度 （北緯）	経度 （東経）	MSL- 潮位表 基準面 （cm）	MSLの 標高 （cm）	潮位表 基準面 の標高 （cm）	主要4分潮								分潮一覧表	備考
48	ON	小名浜	36゜56'	140゜54'	84	-13.2	-97.2	30.31	123.02	14.34	155.7	21.8	173.37	17.24	156.48	2024年	
49	D1	日立	36゜30'	140゜38'	86	-	-	30.94	122.3	14.62	155.15	22.42	169.65	17.45	152.31	-	
50	D3	大洗	36゜18'	140゜34'	87	-	-	30.16	123.91	14.47	156.92	22.89	169.73	17.66	151.54	-	
51	D2	鹿島	35゜56'	140゜42'	89	-	-	30.6	125.62	14.57	158.33	23.93	172.36	18.9	152.53	-	
52	CS	銚子漁港	35゜45'	140゜52'	90	-	-	30.35	127.56	14.44	160.32	23.36	174.6	18.93	155.41	-	＊２
53	ZF	勝浦	35゜08'	140゜15'	90	-5.3	-95.3	36.09	140.79	16.51	169.92	22.41	176.94	17.4	158.56	-	
54	MR	布良	34゜55'	139゜50'	90	8.8	-81.2	35.61	140.1	16.96	169.29	23.2	176.45	18.12	157.43	2024年	
55	TT	館山	34゜59'	139゜51'	100	-	-	37.3	147.6	17.2	174	24.2	177.7	16.9	157.3	-	
56	KZ	木更津	35゜22'	139゜55'	115	-	-	44.1	150.7	21.5	179.3	24.4	177.6	19	159.8	-	
57	QL	千葉	35゜34'	140゜03'	120	7	-113	47.79	152.42	23.73	180.34	25.09	178.31	19.66	159.82	-	
58	CB	千葉港	35゜36'	140゜06'	120	-	-	47.94	153.19	23.64	181.17	25.18	179.15	19.68	160.59	-	
59	TK	東京	35゜39'	139゜46'	120	4.6	-115.4	47.73	153.73	23.64	181.77	25.07	178.91	19.57	160.28	2024年	
60	KW	川崎	35゜31'	139゜45'	115	-	-	45.3	152.86	22.35	181.29	24.86	179.19	19.7	160.21	-	
61	YK	京浜港	35゜28'	139゜38'	115	-	-	43.89	152.75	21.63	180.71	24.52	178.48	19.23	159.91	-	
62	QS	横浜	35゜27'	139゜39'	115	3.9	-111.1	44.02	152.41	21.71	180.49	24.49	178.37	19.21	159.85	-	
63	HM	本牧	35゜26'	139゜40'	115	-	-	44.5	152.66	21.84	181.9	24.59	178.87	19.38	160.5	-	
64	QN	横須賀	35゜17'	139゜39'	110	7	-103	40.75	151.6	19.96	179.93	24.02	178.1	18.89	159.82	-	
65	Z1	油壺	35゜10'	139゜37'	93	4.3	-88.7	35.84	146.75	16.92	174.38	23.13	176.66	18.14	158.1	-	
66	OK	岡田	34゜47'	139゜23'	90	4	-86	34.18	145.18	16.31	173.47	22.95	178.24	18.04	159.66	2024年	
67	QO	神津島	34゜13'	139゜08'	97	-	-97	38.21	164.4	18.02	189.98	22.35	185.98	17.52	166.07	-	＊３
68	MJ	三宅島（坪田）	34゜03'	139゜33'	91	16.9	-74.1	36.63	151.94	16.99	179.73	22.74	175.23	17.89	157.04	2024年	
69	QP	三宅島（阿古）	34゜04'	139゜29'	91	27.6	-63.4	34.15	155.57	16.41	182.18	22.03	184.26	17.39	165.18	-	
70	D4	八丈島（八重根）	33゜06'	139゜46'	95	-	-	33.56	164.65	15.72	189.54	22.06	189.8	17.32	168.33	-	
71	QQ	八丈島（神湊）	33゜08'	139゜48'	81	16.3	-64.7	31.54	158.56	15.48	185.06	19.59	180.52	15.01	165.56	-	
72	CC	父島	27゜06'	142゜12'	68	9	-59	28.11	185.94	12.57	208.73	16.5	195.04	12.08	175.1	2024年	
73	MC	南鳥島	24゜17'	153゜59'	35	4.2	-30.8	8.08	92.31	4.75	138.64	10.04	197.46	7.64	173.99	2024年	
74	D8	湘南港	35゜18'	139゜29'	92	-	-	36.02	149.23	17.01	176.62	23.16	178.82	18.32	158.57	-	
75	OD	小田原	35゜14'	139゜09'	95	0.1	-94.9	34.03	145.48	16.22	172.87	22.92	174.89	17.9	156.94	2024年	
76	Z3	伊東	34゜54'	139゜08'	98	9	-89	35.28	147.08	16.68	174.77	23.83	177.47	18.46	158.39	-	
77	D6	下田	34゜41'	138゜58'	101	-	-	39.52	159.48	18.32	185.88	24.33	182.16	18.77	162.62	-	
78	QK	南伊豆	34゜38'	138゜53'	100	-	-	39.9	162.9	18.52	188.38	24.13	184.16	18.6	164.18	-	
79	G9	石廊崎	34゜37'	138゜51'	100	15.7	-84.3	40.06	165.19	18.64	189.98	24.4	185.21	18.69	165.18	2024年	
80	Z4	田子	34゜48'	138゜46'	100	21.8	-78.2	39.7	166.83	18.75	192.34	20.83	187.35	16.14	168.47	-	
81	UC	内浦	35゜01'	138゜53'	100	16.6	-83.4	40.66	167.84	18.67	192.54	20.34	179.47	14.99	161.8	2024年	
82	SM	清水港	35゜01'	138゜31'	95	27.5	-67.5	38.72	167	18.22	191.68	20.98	180.07	15.47	160.79	2024年	
